ID_FILE	CATEGORY	SENTENCE_NO	SENTENCE
SET1/1595017551-186	SOCIAL ISSUES	43	 Kodi palibe mankhwala ena? Mwina alipo koma amene makolo anga adandisiira ndi amenewa. Awa ndiye mankhwala a nkhunda amene amalera nkhunda pamudzi.
SET1/1595017551-186	SOCIAL ISSUES	44	 Kodi simungamangirire pakhola la nkhuku? Ayi, awa ndi nkhunda zokha basi. Mwina ena angachite koma zomwe ndikudziwa ine ndi nkhundazi basi.
SET1/1595017551-186	SOCIAL ISSUES	45	 Kodi khola simupasula? Zimatheka, ndipo zipatsozi timakazimangiriranso pakhola latsopanolo.
SET1/1595017551-186	SOCIAL ISSUES	46	 Pano muli ndi nkhunda zingati? Sizingapose 20, ndazimaliza chifukwa kanthawi kena zimaposa 50.
SET1/1595017761-218	HEALTH	0	 Kolera yaluma mano Nthenda ya kolera imene idayamba ngati njerengo mwezi wa November chaka chatha, ikukwererabe moti kuchoka Lachisanu sabata yatha chiwerengero cha anthu odwala nthendayo chidachoka pa 420 kufika pa 459 Lachiwiri.
SET1/1595017761-218	HEALTH	1	  Chakwera akwanitse malonjezoHRDC  Masankhidwe a nduna autsa mapiri pa chigwa  Malonjezo ayamba kuoneka Malinga ndi zikalata zochokera ku Unduna wa Zaumoyo, anthu 6 amwalira ndi matendawa ndipo anthu 14 akulandira thandizo mmalo apadera amene undunawo udakhazikitsa mmaboma ena. Matendawa akhudza maboma a Karonga, Kasungu, Dowa, Nkhata Bay, Lilongwe, Salima, Mulanje, Nsanje, Chikwawa, Likoma, Rumphi ndi Blantyre.
SET1/1595017761-218	HEALTH	2	 Matendawa adafala ndi msodzi wina, amene adaitenga ku Wiliro mboma la Karonga ndipo adafika nayo ku Ngala, kumene asodzi amafikira ndi kugulitsa nsomba zawo. Msodziyo adafika padokopo ali wefuwefu ndipo adachita chimbudzi mphepete mwa nyanja.
SET1/1595017761-218	HEALTH	3	 Malinga ndi Idah Msiska, yemwe ndi wapampando wa komiti ya chitukuko ya mmudzi mwa Muyereka ku Ngala, matendawa adafala kwambiri chifukwa cha kusowa zimbudzi komanso utchisi wa deralo.
SET1/1595017761-218	HEALTH	4	 Wodwala woyamba adafika pagombe nkuchita chimbudzi ndipo tizilombo tidafalikira mmadzi. Chovuta china nchoti nsomba zimaola kwambiri kumalowa ndipo zimaitana ntchentche zomwe zimafalitsa matendawa. Padakalipano tikuyendera khomo ndi khomo kuti tithane ndi matendawa ndipo amene sakutsatira malangizowa amakumalipa chindapusa, adatero Msiska.
SET1/1595017761-218	HEALTH	5	 Iye adati chodziwikiratu kuti matendawa afala chifukwa ena amachita chimbudzi mnyanja momwe enanso amatunga madzi ogwiritsa ntchito pakhomo.
SET1/1595017761-218	HEALTH	6	 Malinga ndi mmodzi mwa anthu 258 amene apezeka ndi matendawa ku Karonga, Baxter Nyondo, matendawa ndi wovuta ndipo akungoyamika Mulungu kuti akadali moyo. Iye Lachiwiri tidamupeza akulandira thandizo pachipatala chachingono cha Ngala.
SET1/1595017761-218	HEALTH	7	 Sindinkadziwa chinkandichitikira. Ndinkangothulula osalekeza. Pano bola. Ndikuyamika chifukwa achifundo adanditengera kuchipatala msanga, adatero iye.
SET1/1595017761-218	HEALTH	8	 Iyi ndi nkhani yolingana ndi yomwe adatambasula Mercy Kachepa yemwe ankadikirira mbale wake pamalo a padera a odwala kolera ku Bwaila ku Lilongwe.
SET1/1595017761-218	HEALTH	9	 Adafika kunyumba kuchoka kosewera akudandaula mmimba. Posakhalitsa adayamba kugudubuka, uku akudziyipitsira. Kupanda kuikapo mtima akadapita, adatero Kachepa.
SET1/1595017761-218	HEALTH	10	 Lolemba Nduna ya za Umoyo Atupele Muluzi idakayendera malowo komwe adatsimikiza kuti zinthu zaipa.
SET1/1595017761-218	HEALTH	11	 Nkhondo ndiye ikumenyedwa kuti vutoli lithe koma kunena zoona, matendawa atikakamira ndipo liwiro lomwe akufalira likuopsa kwambiri, adatero iye.
SET1/1595017761-218	HEALTH	12	 Muluzi adauza Nyumba ya Malamulo sabata yatha kuti katemera wa kolera yemwe boma likupereka akhoza kuthandiza kuthetsa kufala kwa matendawa ataperekedwa mmadera ambiri makamaka omwe ali pachiopsezo.
SET1/1595017761-218	HEALTH	13	 Oyanganira ntchito za umoyo mmaboma a Lilongwe ndi Karonga kumene kolera yafala kwambiri, adati sakugona tulo kaamba ka matendawa.
SET1/1595017761-218	HEALTH	14	 Woyanganira ntchito za umoyo mboma la Lilongwe, Alinafe Mbewe, adati vutoli lakula kwambiri kwa Mitengo ku Area 36 ndi Kauma komwe anthu ambiri omwe apezeka ndi matendawa amachokera.
SET1/1595017761-218	HEALTH	15	 Zinthu sizikusintha kwenikweni koma tikuyesetsabe. Kuchoka pa 28 December, 2017 kudzafika pa 23 January, 2018, anthu 35 ndiwo adapezeka ndi kolera koma kuchoka pa 24 January kudzafika pa 12 February, anthu 82 ndiwo apezeka, adatero Mbewe.
SET1/1595017761-218	HEALTH	16	 Ndipo Dr Phinias Mfune ku Karonga wati vutoli likukula chifukwa tsiku lililonse pakupezeka munthu mmodzi wotenga nthendayi.
SET1/1595017704-209	SOCIAL ISSUES	0	 Mphekesera zizunza anthu ku Mangochi Zina ukamva, kamba anga mwala ndithu. Anthu a mboma la Mangochi sabata yapitayi adadzuka pakati pausiku, ena mbandakucha, nkuyamba kukupa phala pokhulupirira mphekesera zoti khanda longobadwa kumene laopseza kuti yemwe sachita zimenezo awona zakuda.
SET1/1595017704-209	SOCIAL ISSUES	1	 Mfumu Makanjira ndi bwana mkubwa wa bomalo, Moses Mphepo, atsimikiza za nkhaniyo, koma ati sakukhulupira zoti mphepo yamkuntho yomwe yaononga nyumba, mizikiti ndi katundu mbomalo ikugwirizana ndi mphekeserazo.
SET1/1595017704-209	SOCIAL ISSUES	2	  Chakwera akwanitse malonjezoHRDC  Masankhidwe a nduna autsa mapiri pa chigwa  Malonjezo ayamba kuoneka Makanjira: Anthu amwa phala Mfumu Makanjira ikuti munthu wina adaitchaila lamya usiku yofotokoza kuti khanda longobadwa kumene la mdziko la Mozambique lalosera kuti mboma la Mangochi mugwa mavuto aakulu ngati anthu sakupa ndi kudya phala.
SET1/1595017704-209	SOCIAL ISSUES	3	 Nditatsiriza kulankhula pa lamyayo, ndinatuluka panja koma ndinadabwa kuona anthu ali pikitipikiti kukupa phala, ena akumwa. Anthu ena anafika kunyumba kwanga kukafunsa nzeru.
SET1/1595017704-209	SOCIAL ISSUES	4	 Tsiku lotsatira chimphepo chachikulu chidaononga nyumba, mizikiti ndi katundu wambiri moti anthu ena akuti zikugwirizana ndi mawu akhanda lija, adatero Makanjira.
SET1/1595017704-209	SOCIAL ISSUES	5	 Mphekeserazo zikuti khandalo, lomwe lidabadwira mdera Kumwembe mdziko la Mozambique, lidamwalira litangotsiriza kupereka uthengawo.
SET1/1595017704-209	SOCIAL ISSUES	6	 Mussa Malekano ndi mmodzi mwa anthu omwe adakupa ndi kumwa phalalo. Ndinalandira foni yondichenjeza kuti ndiona zakuda ndikapanda kukupa ndi kudya phala ndi banja langa lonse.
SET1/1595017704-209	SOCIAL ISSUES	7	 Mneneri wapolisi wa mbomalo, Rodrick Maida, adati ofesi yawo siigwiritsa ntchito zikhulupiriro pogwira ntchito, koma malamulo a dziko.
SET1/1595017704-209	SOCIAL ISSUES	8	 Chimphepo adati mphepo yomwe yawononga katundu ndi mizikiti mbomalo siikugwirizana ndi mphekesera za khandalo.
SET1/1595017704-209	SOCIAL ISSUES	9	 Ndalandira malipoti woti mphepo yaononga katundu, koma sindikukhulupirira kuti zikukhudzana ndi mphekesera za khandalo, adatero bwanamkubwalo.
SET1/1595017737-214	POLITICS	0	 Osinthasintha zipani ngosadalilikaAkadaulo Andale osinthasintha zipani ndi osadalilika, ndipo amachita izi chifukwa cha dyera, atero akadaulo ena a zandale. Koma ena mwa andalewo atsutsa izi.
SET1/1595017737-214	POLITICS	1	 Akadaulowo, Mustapha Hussein, Happy Kayuni ndi Ernest Thindwa adanena izi polankhula ndi Tamvani paderapadera potsatira mchitidwe wa andale ena wosamuka mzipani zawo ndi kulowa zina umene umachulukira makamaka nthawi ya chisankho ikayandikira. Mwachitsanzo, Lamulungu Brown Mpinganjira, Ken Lipenga ndi Henry Phoya, omwe adakhalapo nduna za boma mmaulamuliro a zipani zina mmbuyomu, adalengeza kuti alowa chipani cha DPP limodzi ndi mbusa Daniel Gunya.
SET1/1595017737-214	POLITICS	2	  Chakwera akwanitse malonjezoHRDC  Masankhidwe a nduna autsa mapiri pa chigwa  Malonjezo ayamba kuoneka Mutharika (Pakati) kulandira anayiwo Lamulungu Izi zili choncho, miyezi ingapo yapitayo Sidik Mia, yemwe adakhalaponso nduna mmaboma a mmbuyomu, naye adalengeza kuti walowa MCP ndipo akufuna mpando wa wachiwiri kwa mtsogoleri wachipanicho.
SET1/1595017737-214	POLITICS	3	 Hussein adati andale osinthasintha zipani ndi wosadalirika chifukwa phindu lawo ndi losaoneka ndipo adangotsala maina okha. Iye adati anthu akudziwa kale kuti ndi wosakhazikika kotero kuwatsatira nkudzipachika wekha.
SET1/1595017737-214	POLITICS	4	 Ndimaina aphindu koma sangasinthe zinthu mchipani chifukwa cha mbiri zawo zoyendayenda. Adayamba ndale kalekale ndipo anthu amawadziwa komanso amadziwa mbiri zawo, adatero Hussein.
SET1/1595017737-214	POLITICS	5	 Polankhulapo za akuluakulu akhamukira ku DPP, Kayuni adati anayiwo akungofuna kudzawolokera pamsana pachipanicho kuti apeze mipando ya uphungu pachisankho cha chaka chamawa.
SET1/1595017737-214	POLITICS	6	 Anthuwa akuchokera mmadera momwe DPP ili ndi mphamvu ndipo akudziwa kuti kuimira chipani china pampando wa uphungu, akhoza kugwa. Iwo akungoponya khoka kozama. Komabe sitikuwadabwa chifukwa ndimo alili, watero Thindwa.
