Nzale Verified
akiondolewa VERB
madarakani NOUN
kabla ADP
ya ADP
muda NOUN
wake ADJ
kumalizika NOUN
Januari NOUN
20 NUM
pamoja SCONJ
na SCONJ
kuwa SCONJ
Baraza NOUN
la ADJ
Seneti NOUN
linaloongozwa VERB
na PART
Warepublikan NOUN
sio AUX
rahisi ADJ
kukubaliana NOUN
na ADP
hatua NOUN
hiyo ADJ
. PUNCT

Mazingira NOUN
ya ADJ
huyu ADJ
rais NOUN
asiyeweza VERB
kudhibitiwa NOUN
ni AUX
hatari NOUN
zaidi ADV
, PUNCT
na  CCONJ
lazima AUX
tufanye VERB
kila ADV
tunaloweza VERB
kuwalinda NOUN
wananchi NOUN
wa ADJ
Marekani PROPN
kutokana SCONJ
na  SCONJ
mashambulizi NOUN
yake ADJ
yasiyokuwa VERB
na  PART
msingi NOUN
dhidi SCONJ
ya SCONJ
nchi NOUN
yetu ADJ
na  CCONJ
demokrasia NOUN
yetu ADJ
. PUNCT

Iwapo SCONJ
Baraza NOUN
la ADJ
Wawakilishi NOUN
litamfungulia VERB
mashtaka NOUN
rais NOUN
kumuondoa NOUN
madarakani NOUN
, PUNCT
kwa ADV
mara ADV
ya ADV
pili ADV
, PUNCT
hilo PRON
litapelekea VERB
kesi NOUN
itakayoendeshwa VERB
na PART
Baraza NOUN
la ADJ
Seneti NOUN
, PUNCT
ambalo ADJ
lilimuachia VERB
huru ADJ
Trump PROPN
mara ADV
moja ADV
huko ADV
nyuma ADV
na CCONJ
litakuwa AUX
mapumzikoni NOUN
hadi ADP
Januari NOUN
19 NUM
na CCONJ
baadae SCONJ
Baraza NOUN
la ADJ
Seneti NOUN
litadhibitiwa VERB
na PART
Wademokrat NOUN
baadae ADV
mwezi NOUN
huu ADJ
. PUNCT

Viongozi NOUN
wa ADJ
Democrat PROPN
katika ADP
bunge NOUN
pia ADV
wamemtaka VERB
Makamu NOUN
Rais NOUN
Mike PROPN
Pence PROPN
kutumia NOUN
kifungu NOUN
cha ADJ
25 NUM
cha ADP
Katiba NOUN
, PUNCT
kinachotoa VERB
njia NOUN
mbadala ADJ
na CCONJ
pengine NOUN
ya ADP
haraka ADJ
zaidi ADV
kumuondoa NOUN
rais NOUN
madarakani NOUN
. PUNCT

Pence PROPN
hakuwapa VERB
jibu NOUN
lakini CCONJ
amewaambia VERB
wenzake NOUN
hapendelei VERB
hatua NOUN
hiyo ADJ
kuchukuliwa NOUN
. PUNCT

Sheria NOUN
hiyo ADJ
iliyopitishwa VERB
mwaka ADV
1960 NUM
, PUNCT
kifungu NOUN
hicho ADJ
cha ADJ
25 NUM
cha ADJ
Katiba NOUN
ya ADJ
Marekani PROPN
kinaruhusu VERB
kukabidhi NOUN
madaraka NOUN
kwa ADP
muda NOUN
kutoka ADP
kwa ADP
rais NOUN
kwenda VERB
kwa ADP
makamu NOUN
wa ADJ
rais NOUN
iwapo SCONJ
rais NOUN
hawezi VERB
kutekeleza NOUN
majukumu NOUN
yake ADJ
, PUNCT
kwa ADP
idhini NOUN
ya ADJ
waliowengi NOUN
katika ADP
Baraza NOUN
la ADJ
Mawaziri NOUN
. PUNCT

Lakini CCONJ
wachambuzi NOUN
wanasema VERB
fursa NOUN
hiyo ADJ
inaweza VERB
kuwa AUX
vigumu ADV
kuitekeleza NOUN
wakati ADV
utawala NOUN
wa ADJ
Trump PROPN
umebakiza VERB
siku NOUN
chache ADJ
. PUNCT

Mkuu NOUN
wa ADJ
MONUSCO PROPN
anaamini VERB
uamuzi NOUN
uliotolewa VERB
na PART
mahakama NOUN
ya ADJ
kijeshi ADJ
huko ADJ
Goma PROPN
unathibitisha VERB
uamuzi NOUN
wa ADJ
mamlaka NOUN
ya ADJ
Kongo PROPN
kuendelea NOUN
kwa ADP
msaada NOUN
wetu ADJ
, PUNCT
mapigano NOUN
ya ADJ
kisheria ADJ
dhidi SCONJ
ya SCONJ
wahalifu NOUN
wote ADJ
wa ADJ
vita NOUN
nchini ADV
DRC PROPN
Kiongozi NOUN
wa ADJ
zamani ADJ
wa ADJ
wanamgambo NOUN
huko ADJ
Jamhuri NOUN
ya ADJ
kidemokrasi ADJ
ya ADJ
Congo PROPN
- PUNCT
DRC PROPN
, PUNCT
Ntabo PROPN
Ntaberi PROPN
Sheka PROPN
amehukumiwa VERB
kifungo NOUN
cha ADJ
maisha NOUN
gerezani ADV
kwa ADP
makosa NOUN
ya ADJ
uhalifu NOUN
wa ADJ
vita NOUN
na CCONJ
ubakaji NOUN
wa ADJ
watu NOUN
wengi ADJ
, PUNCT
uamuzi NOUN
uliosifiwa VERB
na PART
Umoja NOUN
wa ADJ
Mataifa NOUN
kama ADV
ni AUX
pigo NOUN
dhidi SCONJ
ya SCONJ
kutoadhibiwa NOUN
kwa ADP
makundi NOUN
yenye ADJ
silaha NOUN
nchini ADV
humo ADJ
. PUNCT

Katika ADP
taarifa NOUN
iliyochapishwa VERB
Jumatatu ADV
, PUNCT
mkuu NOUN
wa ADJ
MONUSCO PROPN
, PUNCT
Leila PROPN
Zerrougui PROPN
alipokea VERB
hukumu NOUN
ya ADJ
kifungo NOUN
cha ADJ
maisha NOUN
kwa ADP
uhalifu NOUN
wa ADJ
vita NOUN
uliofanywa VERB
na PART
Ntabo PROPN
Ntaberi PROPN
Sheka   PROPN
kiongozi NOUN
wa ADJ
kundi NOUN
lenye ADJ
silaha NOUN
la ADJ
Nduma PROPN
Defense NOUN
of ADP
Congo PROPN
- PUNCT
NDC PROPN
. PUNCT

Leila PROPN
anaamini VERB
kuwa SCONJ
uamuzi NOUN
uliotolewa VERB
na ADP
mahakama NOUN
ya ADJ
kijeshi ADJ
huko ADJ
Goma PROPN
unathibitisha VERB
uamuzi NOUN
wa ADJ
mamlaka NOUN
ya ADJ
Kongo PROPN
kuendelea NOUN
kwa ADP
msaada NOUN
wetu ADJ
, PUNCT
mapigano NOUN
ya ADJ
kisheria ADJ
dhidi SCONJ
ya SCONJ
wahalifu NOUN
wote ADJ
wa ADJ
vita NOUN
katika ADP
Jamhuri NOUN
ya ADJ
kidemokrasi ADJ
ya ADJ
Congo PROPN
, PUNCT
zamani ADV
na CCONJ
sasa ADV
. PUNCT

Ntabo PROPN
Ntaberi PROPN
Sheka PROPN
, PUNCT
alikutwa VERB
na PART
hatia NOUN
ya ADJ
mauaji NOUN
, PUNCT
ubakaji NOUN
, PUNCT
utumwa NOUN
wa ADJ
ngono NOUN
na CCONJ
kuandikisha NOUN
wanajeshi NOUN
watoto NOUN
walio AUX
chini ADP
ya ADP
umri NOUN
wa ADJ
miaka NOUN
15 NUM
, PUNCT
mahakama NOUN
ya ADJ
jeshi NOUN
ilitoa VERB
uamuzi NOUN
mwishoni ADP
mwa ADP
kesi NOUN
yake PRON
iliyoendeshwa VERB
kwa ADP
miaka ADV
miwili ADV
. PUNCT

Sheka PROPN
alianzisha VERB
kundi NOUN
la ADJ
wanamgambo NOUN
la ADJ
Nduma PROPN
Defence NOUN
of ADP
Congo PROPN
- PUNCT
NDC PROPN
, PUNCT
linalofanya VERB
harakati NOUN
zake ADJ
katika ADP
jimbo NOUN
la ADJ
Kivu PROPN
kaskazini NOUN
huko ADJ
Jamhuri NOUN
ya ADJ
Kidemokrasi ADJ
ya ADJ
Congo PROPN
, PUNCT
mahala NOUN
ambapo ADJ
alidai VERB
kuwa AUX
anapambana VERB
na PART
waasi NOUN
wa ADJ
kihutu ADJ
wa ADJ
FDLR PROPN
kutoka ADP
Rwanda PROPN
. PUNCT

Hati NOUN
ya ADJ
kukamatwa NOUN
kwake PRON
ilitolewa VERB
Januari ADV
mwaka ADV
2011 ADV
, PUNCT
baada ADP
ya ADP
mfululizo NOUN
wa ADJ
mashambulizi NOUN
ambayo ADJ
NDC PROPN
na CCONJ
makundi NOUN
mengine ADJ
mawili ADJ
yanashutumiwa VERB
kubaka NOUN
watu NOUN
takribani ADV
watu NOUN
400 NUM
katika ADP
vijiji NOUN
13 NUM
, PUNCT
kati SCONJ
ya SCONJ
Julai NOUN
30 NUM
na CCONJ
Agosti NOUN
2 NUM
mwaka NOUN
2010 NUM
. PUNCT

Elsa PROPN
Taquet PROPN
, PUNCT
mshauri NOUN
wa ADJ
masuala NOUN
ya ADJ
sheria NOUN
kwa ADP
program NOUN
ya ADJ
Maziwa NOUN
Makuu ADJ
ya ADJ
kundi NOUN
lisilo AUX
la ADJ
kiserikali ADJ
la ADJ
TRIAL PROPN
International ADJ
, PUNCT
anasema VERB
mashariki ADP
mwa ADP
DRC PROPN
haijawahi VERB
kushuhudia NOUN
hukumu NOUN
ya ADJ
kiwango NOUN
kama ADV
hicho ADV
. PUNCT

Kwa ADP
hali NOUN
yeyote ADJ
, PUNCT
tunashuhudia VERB
wakati NOUN
kihistoria ADJ
. PUNCT

Sheka PROPN
amepatikana VERB
na PART
hatia NOUN
ya ADJ
uhalifu NOUN
wa ADJ
vita NOUN
, PUNCT
ni AUX
mtu NOUN
ambaye ADJ
hakika ADV
hakuna DET
mtu NOUN
yeyote ADJ
aliyedhani VERB
wangewahi VERB
kumwona NOUN
kizimbani ADV
, PUNCT
kwa SCONJ
hivyo SCONJ
hii PRON
ni AUX
hatua NOUN
kubwa ADJ
kusonga NOUN
mbele ADV
katika ADP
upatikanaji NOUN
haki NOUN
. PUNCT

NDC PROPN
pia SCONJ
ilishutumiwa VERB
kuwapatia NOUN
mafunzo NOUN
angalau SCONJ
Watoto NOUN
154 NUM
katika ADP
safu NOUN
zake ADJ
za ADJ
kijeshi ADJ
. PUNCT

Wanajeshi NOUN
wake ADJ
walilaumiwa VERB
kwa ADP
kuharibu NOUN
takribani ADV
nyumba NOUN
na CCONJ
biashara NOUN
10 NUM
pamoja SCONJ
na SCONJ
kuongoza NOUN
kiasi NOUN
cha ADJ
watu NOUN
100 NUM
kuingia NOUN
katika ADP
ajira NOUN
za ADJ
kulazimishwa NOUN
. PUNCT

Taquet PROPN
anasema VERB
hawajaridhishwa VERB
na PART
hali NOUN
Fulani ADJ
ya ADJ
uamuzi NOUN
. PUNCT

Kuna AUX
mambo NOUN
kadhaa ADJ
ya ADP
uamuzi NOUN
ambayo ADJ
tumeyafurahia VERB
kiasi ADV
, PUNCT
kwa ADP
mfano NOUN
kutambuliwa NOUN
kwa ADP
uhalifu NOUN
dhidi SCONJ
ya SCONJ
binadamu NOUN
kwa ADP
ubakaji NOUN
huKo ADJ
Luvungi PROPN
, PUNCT
lakini CCONJ
uhalisia NOUN
au CCONJ
ukweli NOUN
unabaki VERB
kuwa AUX
hivyo ADV
hivyo ADV
kwa ADP
ujumla NOUN
, PUNCT
ni AUX
uamuzi NOUN
mzuri ADJ
sana ADV
uliotoa VERB
matumaini NOUN
na CCONJ
ujumbe NOUN
mzuri ADJ
kwa ADP
waathiriwa NOUN
kwamba SCONJ
sheria NOUN
imetendeka VERB
. PUNCT

Lakini CCONJ
Kahindo PROPN
Fatuma PROPN
, PUNCT
msemaji NOUN
anayewawakilisha VERB
waathirika NOUN
, PUNCT
aliliambia VERB
shirika NOUN
la ADJ
Habari NOUN
la ADJ
AFP PROPN
kwamba SCONJ
, PUNCT
Tumerfurahishwa VERB
na PART
hukumu NOUN
hii ADJ
, PUNCT
ni AUX
ishara NOUN
tosha ADJ
kwa ADP
wababa NOUN
wengine ADJ
wa ADJ
vita NOUN
, PUNCT
aliongeza VERB
kuwa SCONJ
waathirika NOUN
watapata VERB
faraja NOUN
kidogo ADJ
. PUNCT

Mmoja PRON
wa ADP
washtakiwa NOUN
wenzake ADJ
, PUNCT
pia SCONJ
alihukumiwa VERB
kifungo NOUN
cha ADJ
maisha NOUN
jela NOUN
hiyo ADJ
Jumatatu ADV
, PUNCT
mwingine PRON
kifungo NOUN
cha ADJ
miaka NOUN
15 NUM
na CCONJ
wa PRON
mwisho PRON
aliachiliwa VERB
huru ADV
, PUNCT
kulingana SCONJ
na SCONJ
uamuzi NOUN
wa ADJ
mahakama NOUN
ya ADJ
jeshi NOUN
ya ADJ
uendeshaji NOUN
ya ADJ
Kivu PROPN
kaskazini NOUN
. PUNCT

Dazeni NOUN
ya ADJ
makundi NOUN
yenye ADJ
silaha NOUN
yanafanya VERB
harakati NOUN
zake ADJ
mashariki ADP
mwa ADP
DRC PROPN
, PUNCT
eneo NOUN
ambalo ADJ
kuna AUX
ukosefu NOUN
wa ADJ
sheria NOUN
lenye ADJ
utajiri NOUN
wa ADJ
madini NOUN
. PUNCT

Wamefanya VERB
vurugu NOUN
kwa ADP
miongo ADV
kadhaa ADV
tangu ADP
kumalizika NOUN
rasmi ADJ
kwa ADP
vita NOUN
vya ADJ
mwaka NOUN
1998 NUM
mpaka ADP
2003 NUM
ambapo ADJ
mamilioni NOUN
ya ADJ
watu NOUN
walipoteza VERB
maisha NOUN
. PUNCT

NDC PROPN
bado ADV
liko AUX
kwa ADP
jina NOUN
jingine ADJ
la ADJ
NDC PROPN
Renovate PROPN
au CCONJ
NDCR PROPN
. PUNCT

Tume NOUN
ya ADJ
uchaguzi NOUN
nchini ADV
Guinea PROPN
- PUNCT
Conakry PROPN
ilitangaza VERB
Jumamosi ADV
kwamba SCONJ
Rais NOUN
Alpha PROPN
Conde PROPN
alishinda VERB
uchaguzi NOUN
wa ADJ
tarehe NOUN
18 NUM
mwezi NOUN
huu ADJ
, PUNCT
kwa ADP
kupata NOUN
asilimia NOUN
59.5 NUM
ya ADP
kura NOUN
zote ADJ
zilizopigwa VERB
, PUNCT
kwa ADP
mujibu NOUN
wa ADJ
matokeo NOUN
yote ADJ
ya ADJ
awali ADV
. PUNCT

Ushindi NOUN
huo ADJ
, PUNCT
ambao ADJ
ni AUX
lazima AUX
uidhinishwe VERB
na PART
mahakama NOUN
ya ADJ
katiba NOUN
, PUNCT
unampatia VERB
rais NOUN
huyo ADJ
mkongwe ADJ
, PUNCT
mwenye ADJ
umri NOUN
wa ADJ
miaka NOUN
82 NUM
, PUNCT
muhula NOUN
mwingine ADJ
uongozini NOUN
, PUNCT
kufuatia NOUN
uchaguzi NOUN
uliokuwa AUX
na PART
ushindani NOUN
mkali ADJ
, PUNCT
huku CCONJ
upinzani NOUN
ukipinga VERB
kushiriki NOUN
kwa ADP
rais NOUN
huyo ADJ
kwenye ADP
kinyang'anyiro NOUN
hicho ADJ
. PUNCT

Hata ADV
hivyo ADV
, PUNCT
Mpinzani NOUN
mkuu ADJ
wa ADJ
Conde PROPN
, PUNCT
Cellou PROPN
Dalien PROPN
Diallo PROPN
, PUNCT
amesema VERB
ana AUX
ushahidi NOUN
wa ADJ
udanganyifu NOUN
katika ADP
mchakato NOUN
huo ADJ
wa ADJ
uchaguzi NOUN
na CCONJ
kwamba SCONJ
atawasilisha VERB
hoja NOUN
ya ADJ
kupinga NOUN
matokeo NOUN
hayo ADJ
mahakamani ADV
. PUNCT

Tume NOUN
hiyo ADJ
ilisema VERB
Diallo PROPN
alipata VERB
asilimia NOUN
33.5 NUM
ya ADJ
kura NOUN
. PUNCT

Matokeo NOUN
ya ADJ
uchaguzi NOUN
huo ADJ
yamekuwa AUX
yakitolewa VERB
kwa ADP
awamu NOUN
, PUNCT
lakini CCONJ
kwa ADP
kiasi NOUN
kikubwa ADJ
, PUNCT
yamekuwa AUX
yakionyesha VERB
kwamba SCONJ
Rais NOUN
conde PROPN
alikuwa AUX
akielekea VERB
kushinda NOUN
, PUNCT
hali NOUN
ambayo ADJ
imepelekea VERB
maandamano NOUN
katika ADP
ngome NOUN
za ADJ
upinzani NOUN
, PUNCT
ambako ADJ
takriban ADV
watu NOUN
17 NUM
wamepoteza VERB
maisha NOUN
yao ADJ
. PUNCT

Kwa ADP
mujibu NOUN
wa ADJ
katiba NOUN
, PUNCT
Diallo PROPN
ana VERB
siku ADV
nane ADV
kuwasilisha NOUN
malalamishi NOUN
mahakamani ADV
baada ADP
ya ADP
tume NOUN
kutangaza NOUN
matokeo NOUN
hayo ADJ
. PUNCT

Msemaji NOUN
wa ADJ
Baraza NOUN
la ADJ
Usalama NOUN
wa ADJ
Taifa NOUN
Marekani PROPN
amesema VERB
Rais NOUN
Donald PROPN
Trump PROPN
hajafutilia VERB
mbali ADV
hatua NOUN
ya ADP
kuwawekea VERB
vikwazo NOUN
zaidi ADJ
maafisa NOUN
wa ADJ
ngazi NOUN
ya ADJ
juu ADJ
wa ADJ
China PROPN
kutokana SCONJ
na SCONJ
namna NOUN
walivyoshughulikia VERB
suala NOUN
la ADJ
Hong PROPN
Kong PROPN
. PUNCT

Trump PROPN
alisaini VERB
sheria NOUN
ya ADJ
uhuru NOUN
wa ADJ
Hong PROPN
Kong PROPN
, PUNCT
Jumanne ADV
, PUNCT
inayomruhusu VERB
kuwawekea NOUN
vikwazo NOUN
na CCONJ
marufuku NOUN
ya ADJ
visa NOUN
maafisa NOUN
wa ADJ
China PROPN
na CCONJ
mashirika NOUN
mengine ADJ
ya ADJ
kifedha ADJ
yanayojihusisha VERB
na CCONJ
kuiwekea VERB
Hong PROPN
Kong PROPN
sheria NOUN
ya ADJ
usalama NOUN
wa ADJ
taifa NOUN
. PUNCT

Jarida NOUN
la ADJ
Bloomberg PROPN
lilikuwa AUX
limeripoti VERB
rais NOUN
Trump PROPN
alikuwa AUX
amesitisha VERB
hatua NOUN
ya ADP
kuwawekea VERB
vikwazo NOUN
zaidi ADJ
maafisa NOUN
wa ADJ
China PROPN
ili SCONJ
kuzuia NOUN
mgogoro NOUN
kati SCONJ
ya SCONJ
Marekani PROPN
na CCONJ
China PROPN
. PUNCT

Miongoni SCONJ
mwa SCONJ
wanaolengwa VERB
kuwekewa NOUN
vikwazo NOUN
ni AUX
pamoja SCONJ
na SCONJ
mkuu NOUN
wa ADJ
mji NOUN
wa ADJ
Hong PROPN
Kong PROPN
Carrie PROPN
Lam PROPN
kwa ADP
kuunga NOUN
mkono NOUN
utekelezaji NOUN
wa ADJ
sheria NOUN
ya ADJ
usalama NOUN
. PUNCT

Wiki NOUN
iliyopita VERB
, PUNCT
Trump PROPN
aliwawekea VERB
vikwazo NOUN
maafisa NOUN
kadhaa ADJ
wa ADJ
Chama NOUN
cha ADJ
Kikomunisti ADJ
cha ADJ
China PROPN
- PUNCT
CCP PROPN
, PUNCT
kutokana SCONJ
na SCONJ
namna ADV
walivyowadhulumu VERB
Waislamu NOUN
wa ADJ
Uighur PROPN
. PUNCT

Kampeni NOUN
kuelekea NOUN
uchaguzi NOUN
mkuu ADJ
nchini ADV
Uganda PROPN
zimeanza VERB
, PUNCT
baada ADP
ya ADP
tume NOUN
ya ADJ
uchaguzi NOUN
kumaliza NOUN
zoezi NOUN
la ADJ
kuwasajili NOUN
wagombea NOUN
wa ADJ
urais NOUN
, PUNCT
ubunge NOUN
, PUNCT
na CCONJ
viongozi NOUN
wa ADJ
serikali NOUN
za ADJ
mitaa NOUN
. PUNCT

Rais NOUN
wa ADJ
sasa ADV
Yoweri PROPN
Museveni PROPN
anakabiliwa VERB
na PART
ushindani NOUN
kutoka ADP
kwa ADP
wagombea NOUN
wengine ADJ
10 NUM
, PUNCT
akiwemo VERB
mwanamuziki NOUN
Robert PROPN
Kyagulanyo PROPN
maarufu ADJ
kama SCONJ
Bobi PROPN
Wine PROPN
, PUNCT
na CCONJ
majenerali NOUN
wengine ADJ
wawili ADJ
ambao ADJ
walikuwa AUX
marafiki NOUN
wa ADJ
karibu ADJ
wa ADJ
Museveni PROPN
kabla ADP
ya ADP
kukosana NOUN
. PUNCT

Majenerali NOUN
hao ADJ
ni AUX
aliyekuwa VERB
waziri NOUN
wa ADJ
usalama NOUN
Henry PROPN
Tumukunde PROPN
na CCONJ
aliyekuwa AUX
kamanda NOUN
wa ADJ
jeshi NOUN
Mugisha PROPN
Muntu PROPN
. PUNCT

Bobi PROPN
Wine PROPN
Mwanamuziki NOUN
ambaye ADJ
sasa ADV
ni AUX
mgombea NOUN
urais NOUN
Robert PROPN
Kyagulanyi PROPN
maarufu ADJ
Bobi PROPN
Wine PROPN
, PUNCT
anayegombea VERB
urais NOUN
kwa ADP
tiketi NOUN
ya ADJ
chama NOUN
cha ADJ
NUP PROPN
, PUNCT
amefanya VERB
kampeni NOUN
kubwa ADJ
mjini ADV
Arua PROPN
kaskazini ADP
mwa ADP
Uganda PROPN
na CCONJ
kuvutia NOUN
umati NOUN
mkubwa ADJ
wa ADJ
watu NOUN
hasa ADV
vijana NOUN
. PUNCT

Japo SCONJ
kampeni NOUN
yake ADJ
ilikuwa AUX
imepanga VERB
kukutana NOUN
na ADP
idadi NOUN
ndogo ADJ
ya ADJ
watu NOUN
katika ADP
uwanja NOUN
wa ADJ
michezo NOUN
mjini ADV
humo ADJ
, PUNCT
umati NOUN
mkubwa ADJ
wa ADJ
watu NOUN
ulijitokeza VERB
barabarani ADV
na CCONJ
kusitisha NOUN
shughuli NOUN
mjini NOUN
humo ADJ
. PUNCT

Mara ADV
ya ADV
mwisho ADV
Bobi PROPN
Wine PROPN
alifanya NOUN
kampeni NOUN
mjini ADV
Arua PROPN
, PUNCT
ilikuwa AUX
katika ADP
uchaguzi NOUN
mdogo ADJ
mwaka NOUN
2018 NUM
ambapo ADJ
ulimalizika VERB
kwa ADP
machafuko NOUN
, PUNCT
kifo NOUN
cha ADJ
dereva NOUN
wake ADJ
na CCONJ
gari NOUN
la ADJ
rais NOUN
Yoweri PROPN
Museveni PROPN
kuripotiwa NOUN
kupigwa NOUN
mawe NOUN
. PUNCT

Kyagulanyi PROPN
mwenye ADJ
umri NOUN
wa ADJ
miaka NOUN
37 NUM
, PUNCT
ametoa VERB
wito NOUN
kwa ADP
polisi NOUN
kukoma NOUN
kuhangaisha NOUN
wafuasi NOUN
wake ADJ
, PUNCT
akisema VERB
kwamba SCONJ
kila ADV
mtu NOUN
anastahili VERB
kuishi NOUN
kwa ADP
kumheshimu NOUN
mwingine ADJ
na CCONJ
kwamba SCONJ
raia NOUN
na CCONJ
polisi NOUN
ni AUX
mandugu NOUN
, PUNCT
majirani NOUN
na CCONJ
watu NOUN
wanapitia VERB
changamoto NOUN
zinazofanana VERB
. PUNCT

Tunapigwa VERB
na CCONJ
kunyanyaswa NOUN
na ADJ
polisi NOUN
kila ADV
mara ADV
. PUNCT

Polisi NOUN
ni AUX
ndugu NOUN
zetu ADJ
. PUNCT

Ni AUX
dada NOUN
zetu ADJ
. PUNCT

Ni AUX
jamaa NOUN
wetu ADJ
. PUNCT

Tuna AUX
ukoo NOUN
nao PRON
lakini CCONJ
wanaendelea VERB
kutupiga NOUN
kila ADV
mara ADV
. PUNCT

Ni AUX
vyema ADV
wajue VERB
kwamba SCONJ
hii ADJ
nchi NOUN
ni  AUX
yetu ADJ
sote ADV
na CCONJ
hatutachoka VERB
kudai NOUN
haki NOUN
hadi ADP
pale ADV
kila ADJ
mtu NOUN
atakapohisi VERB
amekombolewa VERB
. PUNCT

amesema VERB
Kyagulanyi PROPN
maarufu ADJ
kama SCONJ
Bobi PROPN
Wine PROPN
. PUNCT

Museveni PROPN
apiga VERB
kambi NOUN
Lira PROPN
Rais NOUN
Yoweri PROPN
Museveni PROPN
ambaye ADJ
aliingia VERB
madarakani NOUN
Bobi PROPN
Wine PROPN
akiwa VERB
na PART
umri NOUN
wa ADJ
miaka NOUN
4 NUM
, PUNCT
amefanya VERB
kampeni NOUN
yake ADJ
katika ADP
wilaya NOUN
ya ADJ
Lira PROPN
kaskazini ADP
mwa ADP
Uganda PROPN
. PUNCT

Wilaya NOUN
ya ADJ
Lira PROPN
inapakana VERB
na ADP
Arua PROPN
ambapo ADJ
amekuwa VERB
Bobi PROPN
Wine PROPN
. PUNCT

siku NOUN
moja ADJ
baada ADP
ya ADP
kuzindua NOUN
kampeni NOUN
yake ADJ
ya ADJ
kutafuta NOUN
mhula NOUN
wa ADJ
sita ADJ
madarakani NOUN
. PUNCT

Uzinduzi NOUN
wa ADJ
kampeni NOUN
ulifanyika VERB
katika ADP
wilaya NOUN
ya ADJ
Luweero PROPN
. PUNCT

Museveni PROPN
amesema VERB
kwamba SCONJ
hataki VERB
kukutana NOUN
na ADP
kundi NOUN
kubwa ADJ
la ADJ
wafuasi NOUN
wake ADJ
jinsi ADV
ambavyo ADJ
imekuwa AUX
katika ADP
kampeni NOUN
zilizopita VERB
, PUNCT
kutokana SCONJ
na SCONJ
janga NOUN
la ADJ
virusi NOUN
vya ADJ
Corona PROPN
. PUNCT

Kampeni NOUN
yake ADJ
itakuwa VERB
ya ADP
kukutana NOUN
na ADP
makundi NOUN
ya ADJ
watu NOUN
wachache ADJ
kutoka ADP
sehemu NOUN
tofauti ADJ
katika ADP
kila ADJ
wilaya NOUN
. PUNCT

Akiwa AUX
mjini NOUN
Lira PROPN
, PUNCT
