undiacritized	diacritized
Aarẹ Onitaksi: Mo ka ile-ẹkọ alakọọbẹrẹ ni Kaduna, ile ẹkọ giga ni Oyun Baptist High School ni Ijagbo, Kwara.	Ààrẹ Onítaksí: Mo ka ilé-ẹ̀kọ́ alákọ̀ọ́bẹ̀rẹ̀ ní Kàdúná, ilé ẹ̀kọ́ gíga ní Òyun Baptist High School ní Ìjágbó, Kwara.
Lẹyin iṣẹ diẹ, mo tẹ siwaju ninu ẹkọ imọ nipa iṣẹ iranṣẹ, ti wọn n pe ni Theology, ni Holy Ghost Christain Center, nileewe gbogboniṣe ti Kaduna, mo kawe nipa iṣakoso nibẹ ki too waa pari HND ninu eto ẹkọ iṣẹ iranṣẹ ni Kaduna Polytecnic.	Lẹ́yìn iṣẹ́ díẹ̀, mo tẹ̀ síwájú nínú ẹ̀kọ́ ìmọ̀ nípa iṣẹ́ ìránṣẹ́, tí wọn ń pè ní Theology, ni Holy Ghost Christain Center, níléèwé gbogbonìṣe ti Kàdúná, mo kàwé nípa ìṣàkóso níbẹ̀ kí tóó wáá parí HND nínú ètò ẹ̀kọ́ iṣẹ́ ìránṣẹ́ ní Kàdúná Polytecnic.
Bi ẹ ṣe n wo mi yii, ojulowo alufaa iranṣẹ Ọlọrun ti a fi ami ororo yan ni mi, ṣugbọn mo kan ni ifẹ si iṣẹ awakọ taksi ni, mo si ti ni oore-ọfẹ lati rinrinajo lọ siluu London, South Africa, Germany, Holand lọọ ba wọn ṣiṣẹ taksi lọhun un.	Bí ẹ ṣe ń wò mí yìí, ojúlówó àlúfáà ìránṣẹ́ Ọlọ́run tí a fi àmì òróró yàn ni mí, ṣùgbọ́n mo kàn ní ìfẹ́ sí iṣẹ́ awakọ̀ taksí ni, mo sì ti ní oore-ọ̀fẹ́ láti rìnrìnàjò lọ sílùú London, South Africa, Germany, Holand lọọ bá wọn ṣiṣẹ́ taksí lọ́hùn ún.
Iriri mi niluu oyinbo wu mi lori pupọ, mo dẹ pinnu lati yi igbe aye taksi wiwa pada si rere ni asiko ti mo jẹ aarẹ yii.	Ìrírí mi nílùú òyìnbó wú mi lórí púpọ̀, mo dẹ̀ pinnu láti yí ìgbé ayé taksí wíwà padà sí rere ní àsìkò tí mo jẹ́ ààrẹ yìí.
Bo tiẹ jẹ pe arun Korona fẹẹ dawa lọwọ kọ diẹ, ṣugbọn itẹsiwaju yoo ba iṣẹ naa laipẹ.	Bó tiẹ̀ jẹ́ pé àrùn Kòrónà fẹ́ẹ́ dáwa lọ́wọ́ kọ̀ díẹ̀, ṣùgbọ́n ìtẹ̀síwájú yóò bá iṣẹ́ náà láìpẹ́.
Aṣejere: Ṣugbọn, iṣẹ ọhun ko fi bẹẹ da bii ti tẹlẹ mọ?	Àṣejèrè: Ṣùgbọ́n, iṣẹ́ ọ̀hún kò fi bẹ́ẹ̀ dá bíi ti tẹ́lẹ̀ mọ́?
Aarẹ Onitaksi: Ọrọ lẹ sọ!	Ààrẹ Onítaksí: Ọ̀rọ̀ lẹ sọ!
Diẹ lọwọ olori, pupọ lọwọ awọn ọmọ ẹgbẹ.	Díẹ̀ lọ́wọ́ olórí, púpọ̀ lọ́wọ́ àwọn ọmọ ẹgbẹ́.
Gomina Raji Faṣọla ṣe gudugudu meje yaaya mẹfa fẹgbẹ onitaksi lEkoo.	Gómìnà Raji Fáṣọlá ṣe gudugudu méje yààyà mẹfà fẹ́gbẹ́ onítaksí l’Ékòó.
Faṣọla ko ya wa lowo, ṣugbọn wọn pọn wa lẹyin pẹlu ọja to nipọn, wọn ṣe oniduuro fun wa lawọn banki kan, aimọye miliọnu lawọn ile ifowopamọ ya wa, ti a si ti san-an tan, gbogbo ohun ti mo n sọ yii ti le lọdun mẹwaa o, ṣe ẹ mọ pe mọto naa maa n dagba, bẹẹ si ni ko si oniduuro ati banki to fẹẹ ya wa lowo bii ti igba yẹn mọ, ati pe iṣẹ awakọ taksi ninu awọn estate wa kaakiri Eko ko da bii ti atẹyinwa.	Fáṣọlá kò yá wa lówó, ṣùgbọ́n wọ́n pọ̀n wá lẹ́yìn pẹ̀lú ọ̀já tó nípọn, wọ́n ṣe onídùúró fún wa láwọn báǹkì kan, àìmọye mílíọ̀nù làwọn ilé ìfowópamọ́ yá wa, tí a sì ti san-án tán, gbogbo ohun tí mo ń sọ yìí ti le lọ́dún mẹ́wàá o, ṣé ẹ mọ̀ pé mọ́tò náà máa ń dàgbà, bẹ́ẹ sì ni kò sí onídùúró àti báǹkì tó fẹ́ẹ́ yá wa lówó bíi ti ìgbà yẹn mọ́, àti pé iṣẹ́ awakọ̀ taksí nínú àwọn estate wa káàkiri Èkó kò dà bíi ti àtẹ̀yìnwá.
Ọpọlọpọ onitaksi ni wọn kun lọda miiran lati lee ma wọnu estate kaakiri, a o le maa yawo ra mọto ka ma lee san an pada lasiko, ṣugbọn eyi da omitutu si wa lọkan, lo fi da bii pe taksi ti n ku lEkoo.	Ọ̀pọ̀lọpọ̀ onítaksí ni wọ́n kùn lọ́dà mííràn láti leè ma wọnú estate káàkiri, a ò le máa yáwó ra mọ́tò ká má leè san án padà lásìkò, ṣùgbọ́n èyí da omitútù sí wa lọ́kàn, ló fi dà bíi pé taksí ti ń kú l’Ékòó.
Lara iṣoro taa n doju kọ niyi, abẹrẹ to lokun nidii ni wa, a kii ṣe gbọmọ-gbọmọ bẹẹ a kii fi mọto wa jale.	Lára ìṣòro táà ń dojú kọ nìyí, abẹ́rẹ́ tó lókùn nídìí ni wá, a kìí ṣe gbọ́mọ-gbọ́mọ bẹ́ẹ̀ a kìí fi mọto wa jalè.
Gbogbo akọsilẹ awọn ọmọ ẹgbẹ wa patapata la ni.	Gbogbo àkọsílẹ̀ àwọn ọmọ ẹgbẹ́ wa pátápátá la ní.
Ẹ wo kaadi ni mo gbe kọ ọrun yii, bi gbogbo ọmọ ẹgbẹ dẹ ṣe ni i niyi.	Ẹ wo káàdì ni mo gbé kọ́ ọrùn yìí, bí gbogbo ọmọ ẹgbẹ́ dẹ̀ ṣe ní i nìyí.
Awọn to n kun taksi wọn lọda miiran ni wọn n ṣiṣẹ buruku.	Àwọn tó ń kun taksí wọn lọ́dà mííràn ni wọ́n ń ṣiṣẹ́ burúkú.
Ẹgbẹ wa nikan nijọba fọwọ si, pẹlu kọlọ idanimo wa, to jẹ yẹlo.	Ẹgbẹ́ wa nìkan nìjọba fọwọ́ sí, pẹ̀lú kọ́lọ̀ ìdánimò wa, tó jẹ́ yẹ́lò.
Ṣugbọn ki lo de tawọn estate ati papakọ ofurufu n gbogun ti wa?	Ṣùgbọ́n kí ló dé tàwọn estate àti pápákọ̀ òfúrufú ń gbógun tì wá?
Bẹẹ lo ri ni Unilag, Eko Hotels, bẹẹ ambasadọ la jẹ kaakiri agbaye, ko si ibi ti ẹ maa de lagbaaye, ti ẹ o ni ri taksi.	Bẹ́ẹ̀ ló rí ní Unilag, Èkó Hotels, bẹ́ẹ̀ àm̀básádọ̀ la jẹ́ káàkiri àgbáyé, kò sí ibi tí ẹ máa dé lágbàáyé, tí ẹ ò ní rí taksí.
Lara awọn igbesẹ atunṣe ti mo fẹẹ gbe niyi gẹgẹ bi aarẹ, lati ṣepade pẹlu awọn adari estate kọọkan lEkoo ati FAAN, iyẹn ajọ to n ṣakoso papakọ ofurufu, Airport wa, paapaa Ọgbẹni Rotimi Amaechi to jẹ minisita.	Lára àwọn ìgbésẹ̀ àtúnṣe tí mo fẹ́ẹ́ gbé nìyí gẹ́gẹ́ bí ààrẹ, láti ṣèpàdé pẹ̀lú àwọn adarí estate kọ̀ọ̀kan l’Ékòó àti FAAN, ìyẹn àjọ tó ń ṣàkóso pápákọ̀ òfúrufú, Airport wa, pàápàá Ọ̀gbẹ́ni Rótìmí Amaechi tó jẹ́ mínísítà.
Taksi ko ku rara o,  emi mọ pe laipẹ; a o debẹ.	Taksí kò kú rárá o,  èmí mọ̀ pé láìpẹ́; a ó débẹ̀.
Aṣejere: Iru awọn atunto wo lẹ fẹẹ mu ba iṣẹ taksi, njẹ ẹ lee sọ fun wa?	Àṣejèrè: Irú àwọn àtúntò wo lẹ fẹ́ẹ́ mú bá iṣẹ́ taksí, ǹjẹ́ ẹ lèè sọ fún wa?
Aarẹ Onitaksi: Ki n too depo aarẹ, a ti ṣefilọle ohun ti a pe ni Taxi App.	Ààrẹ Onítaksí: Kí n tóó dépò ààrẹ, a ti ṣèfilọ́lè ohun tí a pè ní “Taxi App”.
Ibi taye ba yi si, lawa naa gbọdọ bawọn yi si, irọrun lawọn araalu n fẹ.	Ibi táyé bá yí sí, làwa náà gbọdọ̀ báwọn yí sí, ìrọ̀rùn làwọn aráàlú ń fẹ́.
Bẹẹ lawa onitaksi naa ti ni Eko Cab to wa lori ẹrọ ayelujara, fun igbaye-gbadun awọn eeyan.	Bẹ́ẹ̀ làwa onítaksí náà ti ní “Èkó Cab” tó wà lórí ẹ̀rọ ayélujára, fún ìgbáyé-gbádùn àwọn èèyàn.
Nigba ti a ba ko mọto tuntun wọle pẹlu ẹrọ ọlọyẹ, bii ọgbọn ti wa nilẹ bayii, ṣugbọn a n fẹ iranwọ owo lati banki.	Nígbà tí a bá kó mọ́tò tuntun wọlé pẹ̀lú ẹ̀rọ ọlọ́yẹ́, bíi ọgbọ̀n ti wà nílẹ̀ báyìí, ṣùgbọ́n a ń fẹ́ ìrànwọ́ owó láti báǹkì.
Aṣejere: Ki lo fa a ti ko fi si awọn ọdọ ninu iṣẹ taksi mọ?	Àṣejèrè: Kí ló fà á tí kò fi sí àwọn ọ̀dọ́ nínú iṣẹ́ taksí mọ́?
Aarẹ Onitaksi: Ọmọọdun marundinlọgbọn (25 ) ni mi nigba ti mo darapọ mọ ẹgbẹ yii gẹgẹ bi awakọ, awọn ọdọ wa lẹnu iṣẹ wa yii, wọn n dagba sẹnu ẹ ni, ti ẹ ba ranti, nigba ti Faṣọla ko  awọn Mega Taxi wọle, awọn ọdọ pọ ti wọn n wa a, nitori o jẹ mọto tuntun pẹlu ọyẹ.	Ààrẹ Onítaksí: Ọmọọdún márùndínlọ́gbọ̀n (25 ) ni mí nígbà tí mo darapọ̀ mọ́ ẹgbẹ́ yìí gẹ́gẹ́ bí awakọ̀, àwọn ọ̀dọ́ wà lẹ́nu iṣẹ́ wa yìí, wọn ń dàgbà sẹ́nu ẹ̀ ni, tí ẹ bá rántí, nígbà tí Fáṣọlá kó  àwọn Mega Taxi wọlé, àwọn ọ̀dọ́ pọ̀ tí wọn ń wá á, nítorí ó jẹ́ mọ́tò tuntun pẹ̀lú ọyẹ́.
Ṣe ẹ mọ pe awọn ọdọ aye isinyi fẹran nnkan to ba rọrun, ṣugbọn a ti n gbiyanju lati ri i pe tọkunrin tobinrin ati ọdọmọde tọjọ ori ẹ too wa ọkọ la maa ṣepolongo fun, lati waa darapọ mọ iṣẹ yii, nitori iṣẹ owo to niye lori ati wipe awọn agbalagba to wa nibẹ maa dogbo lọjọ kan, kawọn ọdọ tunbọ lee maa gbe taksi wiwa larugẹ.	Ṣé ẹ mọ̀ pé àwọn ọ̀dọ́ ayé ìsíǹyí fẹ́ràn ǹǹkan tó bá rọrùn, ṣùgbọ́n a ti ń gbìyànjú láti rí i pé tọkùnrin tobìnrin àti ọ̀dọ́mọdé tọ́jọ́ orí ẹ̀ tóó wa ọkọ̀ la máá ṣèpolongo fún, láti wáá darapọ̀ mọ́ iṣẹ́ yìí, nítorí iṣẹ́ owó tó níye lórí àti wípé àwọn àgbàlagbà tó wà níbẹ̀ máa dògbó lọ́jọ́ kan, káwọn ọ̀dọ́ túnbọ̀ leè máa gbé taksí wíwà lárugẹ.
Awa awakọ kii ṣiṣẹ pẹlu goggle map, ko sọna ti Ọlọrun ko fun wa mọ lEkoo, fun idi eyi ati ṣepolongo ninu redio ri, ara ipolongo naa ni mo n ṣe pẹlu ẹyin oniiwe iroyin yii, laipẹ a tun gbe igbesẹ si i.	Àwa awakọ̀ kìí ṣiṣẹ́ pẹ̀lú goggle map, kò sọ́nà tí Ọlọ́run kò fún wa mọ̀ l’Ékòó, fún ìdí èyí àti ṣèpolongo nínú rédíò rí, ara ìpolongo náà ni mo ń ṣe pẹ̀lú ẹ̀yin oníìwé ìròyìn yìí, láìpẹ́ a tún gbé ìgbésẹ̀ sí i.
Aṣejere: Ẹ jẹ ka ya diẹ, ọkọ aṣẹwo ti wọn maa n pe yin, ki lo fa a?	Àṣejèrè: Ẹ jẹ́ ká yà díẹ̀, ọkọ aṣẹ́wó tí wọn máa ń pè yín, kí ló fà á?
Aarẹ Onitaksi: (Aarẹ Rẹrin-in) Ọrọ lẹ sọ.	Ààrẹ Onítaksí: (Ààrẹ Rẹ́rìn-ín) Ọ̀rọ̀ lẹ sọ.
Onifaaji nii wa, onifaaji lemi naa.	Onífàájì nii wá, onífàájì lèmi náà.
Tẹlẹ, aarin wakati mẹta si mẹrin, a ti pawo rẹpẹtẹ, tẹẹ ba wa ri dẹrẹba pẹlu ṣeeni lọrun ati lọwọ, ara faaji naa ni.	Tẹ́lẹ̀, àárín wákàtí mẹ́ta sí mẹ́rin, a ti pawó rẹpẹtẹ, tẹ́ẹ bá wá rí dẹ́rẹ́bà pẹ̀lú ṣéènì lọ́rùn àti lọ́wọ́, ara fàájì náà ni.
Awa onitaksi la mọ ile ounjẹ to dara ju lEkoo.	Àwa onítaksí la mọ ilé oúnjẹ tó dára jù l’Ékòó.
Owo ojumọ ti a n pa, awọn obinrin maa n sa tẹle wa ni.	Owó ojúmọ́ tí à ń pa, àwọn obìnrin máa ń sá tẹ̀lé wa ni.
Awọn kan niyawo meji mẹta ninu wa, ṣugbọn nnkan ti yi pada.	Àwọn kan níyàwó méjì mẹ́ta nínú wa, ṣùgbọ́n nǹkan ti yí padà.
Nitori naa, ọkọ aṣẹwo ni mi o, a si n jẹ orukọ yẹn.	Nítorí náà, ọkọ aṣẹ́wó ni mí o, a sì ń jẹ́ orúkọ yẹn.
Ẹni ba n ṣiṣẹ deede, o yẹ ko lasiko igbadun.	Ẹní bá ń ṣiṣẹ́ déédé, ó yẹ kó lásìkò ìgbádùn.
Aṣejere: Iranwọ wo lẹ wa n fẹ lọwọ ijọba bayii o?	Àṣejèrè: Ìrànwọ́ wo lẹ wá ń fẹ́ lọ́wọ́ ìjọba báyìí o?
Aarẹ Onitaksi: Mo gbe igbesẹ lati ri Gomina Sanwo-Olu ṣugbọn arun Korona lo n di wa lọwọ.	Ààrẹ Onítaksí: Mo gbé ìgbésẹ̀ láti rí Gómìnà Sanwó-Olú ṣùgbọ́n àrùn Kòrónà ló ń dí́ wa lọ́wọ́.
Nnkan mẹta la n fẹ, ki wọn maa jẹ ki iṣẹ taksi parẹ niluu Eko.	Nǹkan mẹ́ta là ń fẹ́, kí wọ́n máá jẹ́ kí iṣẹ́ taksí parẹ́ nílùú Èkó.
Faṣọla, Adefulirẹ, Ọpẹifa ati Toriọla, gbogbo awọn eeyan wọnyi ni wọn sọ nnkan rere nipa iṣẹ taksi.	Fáṣọlá, Adéfulírẹ, Ọpẹ́ifá àti Toríọlá, gbogbo àwọn èèyàn wọ̀nyí ni wọ́n sọ nǹkan rere nípa iṣẹ́ taksí.
Ẹkeji lọrọ awọn estate yẹn, loootọ ijọba Faṣọla gbiyanju, ṣugbọn bi wọn ti kuro nibẹ lawọn estate yẹn tun gbegi dina wa.	Ẹ̀kejì lọ̀rọ̀ àwọn estate yẹn, lóòótọ́ ìjọba Fáṣọlá gbìyànjú, ṣùgbọ́n bí wọ́n ti kúrò níbẹ̀ làwọn estate yẹn tún gbégi dínà wa.
Ki wọn si tun jọọ, ki wọn ran awa naa lọwọ paapaa pẹlu iranwọ ti wọn ṣe lasiko igbele arun Korona, nipa yiyawa lowo ki ele ori ẹ ma si pọ ju, gẹgẹ bi Amọsun ati AbdulFatai ṣe ṣe ni Ogun ati Kwara.	Kí wọ́n sì tún jọ̀ọ́, kí wọ́n ran àwa náà lọ́wọ́ pàápàá pẹ̀lú ìrànwọ́ tí wọ́n ṣe lásìkò ìgbélé àrùn Kòrónà, nípa yíyáwa lówó kí èlé orí ẹ̀ má sì pọ̀ jù, gẹ́gẹ́ bí Amọ́sùn àti AbdulFatai ṣe ṣe ní Ògùn àti Kwara.
Aṣejere: Kinni imọran yin fọmọ ẹgbẹ lapapọ?	Àṣejèrè: Kínni ìmọ̀ràn yín fọ́mọ ẹgbẹ́ lápapọ̀?
Aarẹ Onitaksi: Igba ọtun ti de, Ọtunba Taiwo Ọmọlekan lo wa lori ipo aarẹ.	Ààrẹ Onítaksí: Ìgbà ọ̀tun ti dé, Ọ̀túnba Táíwò Ọmọ́lékan ló wà lórí ipò ààrẹ.
Ko sibi ta o lee lọ, ko sẹni ta o lee ba sọrọ.	Kò síbi tá ò leè lọ, kò sẹ́ni tá ò leè bá sọ̀rọ̀.
Ẹ gba kaadi idanimọ yin, ẹ gba iwe idanimọ ara ọkọ, ẹ ṣe awọn iwe mọto yin ko pe.	Ẹ gba káàdì ìdánimọ̀ yín, ẹ gba ìwé ìdánimọ̀ ara ọkọ̀, ẹ ṣe àwọn ìwé mọ́tò yín kó pé.
Lẹyin taa ba ṣeyi tan, ka waa wo ibi ti Ọlọrun yoo gbe iṣẹ taksi wiwa de lEkoo.	Lẹ́yìn taa bá ṣèyí tán, ká wáá wo ibi tí Ọlọ́run yóò gbé iṣẹ́ taksí wíwà dé l’Ékòó.
Ẹ ṣe e o!.	Ẹ ṣé é o!.
Awa la n ja fẹtọọ awọn tohun ti wọn fowo ra ko ba tẹ lọrun  Kẹmi Olugbode	Àwa là ń jà fẹ́tọ̀ọ́ àwọn tóhun tí wọ́n fowó rà kò bá tẹ́ lọ́rùn – Kẹ́mi Olúgbòde
Ẹ jẹ ki a mọ orukọ yin ati ohun ti ẹ n ṣe nileeṣẹ yii?	Ẹ jẹ́ kí á mọ orúkọ yín àti ohun tí ẹ̀ ń ṣe níléeṣẹ́ yìí?
Orukọ mi ni Kẹmi Olugbode.	Orúkọ mi ni Kẹ́mi Olúgbòde.
Emi ni adari ileeṣẹ LASCOPA, iyẹn ni Lagos State Consumers Protection Agency, to jẹ Ile iṣẹ tijọba dalẹ lati ja fun ẹtọ ọmọ eniyan nipa ohun ti wọn fowo wọn ra, abi iṣẹ ti wọn sanwo fun ti ko tẹ wọn lọrun.	Èmi ni adarí iléeṣẹ́ LASCOPA, ìyẹn ní Lagos State Consumers’ Protection Agency, tó jẹ́ Ilé iṣẹ́ tìjọba dálẹ̀ láti jà fún ẹ̀tọ́ ọmọ ènìyàn nípa ohun tí wọ́n fowó wọn rà, àbí iṣẹ́ tí wọ́n sanwó fún tí kò tẹ́ wọn lọ́rún.
Ofin lo da ileeṣẹ yii silẹ, lati ja faraalu lori nnkan taa n lo sara tabi taa n jẹ sẹnu, awọn araalu labẹ ofin lẹtọọ lati ni imọ to peye nipa ẹtọ wọn labẹ ofin, ati pe ki wọn le mọ pe wọn lẹẹtọ fun aabo ki gbogbo nnkan ti wọn ba kowo le, le tẹ wọn lọrun.	Òfin ló dá iléeṣẹ́ yìí sílẹ̀, láti jà fáráàlú lórí nǹkan táa ń lò sára tàbí táa ń jẹ sẹ́nu, àwọn araàlú lábẹ́ òfin lẹ́tọ̀ọ́ láti ní ìmọ̀ tó péye nípa ẹ̀tọ́ wọn lábẹ́ òfin, àti pé kí wọn lè mọ̀ pé wọ́n lẹ́ẹ̀tọ́ fún ààbò kí gbogbo nǹkan tí wọ́n bá kówó lé, le tẹ́ wọn lọ́rùn.
Gbogbo nnkan to jẹ koṣeemani fawọn araalu, iba ṣe omi, aṣọ taa n wọ sọrun, ina mọnamọna, ile taa n gbe, awọn nnkan to jẹ pe owo apo wọn ni wọn fi n ra a, wọn gbọdọ ri itẹlọrun ninu ẹ, ko ma jẹ pe wọn sowo nu.	Gbogbo nǹkan tó jẹ́ kòṣeémánì fáwọn aráàlú, ìbá ṣe omi, aṣọ táà ń wọ̀ sọ́rùn, iná mọ̀nàmọ́ná, ilé táa ń gbé, àwọn nǹkan tó jẹ́ pé owó àpò wọn ni wọ́n fi ń rà á, wọ́n gbọ́dọ̀ rí ìtẹ́lọ́rùn nínú ẹ̀, kó má jẹ́ pé wọn sowó nù.
Bi a ba wa ri ẹni to fọwọ ẹ ra nnkan ti ko tẹ ẹ lọrun, iru wọn la n ja fun.	Bí a bá wá rí ẹni tó fọwọ́ ẹ̀ ra nǹkan tí kò tẹ́ ẹ lọ́rùn, irú wọn là ń jà fún.
Laipẹ yii lẹ lọ sinu ọja fun eto kan, kinni idi to fi jẹ pe inu ọja lẹ lọ?	Láìpẹ́ yìí lẹ lọ sínú ọjà fún ètò kan, kínni ìdí tó fi jẹ́ pé inú ọjà lẹ lọ?
A lọọ ṣeto kan nibẹ ninu ọja Ojuwoye, ni Muṣin.	A lọọ ṣètò kan níbẹ̀ nínú ọjà Ojúwòyè, ní Muṣin.
Ṣugbọn a o fẹ kawọn eeyan ṣi wa mu fun awọn ajọ ijọba yooku to ni nnkan ṣe pẹlu ọja.	Ṣùgbọ́n a ò fẹ́ káwọn èèyàn ṣì wá mu fún àwọn àjọ ìjọba yòókù tó ní nǹkan ṣe pẹ̀lú ọjà.
CBD wa nibẹ, ajọ Taskforce naa wa nibẹ, amọ awa kii ko ọja ọlọja.	CBD wà níbẹ̀, àjọ Taskforce náà wà níbẹ̀, àmọ́ àwa kìí kó ọjà ọlọ́jà.
Gbogbo ọja taa ba lọ, la maa n ni ajọṣepọ pẹlu awọn adari ọja wọn; iyalọja ati babalọja.	Gbogbo ọjà táa bá lọ, la máa ń ní àjọṣepọ̀ pẹ̀lú àwọn adarí ọjà wọn; ìyálọ́jà àti bàbálọ́jà.
Wọn ṣi maa n ran wa lọwọ, taa ba gbọ pe ayederu ọja kan wa nibi kan, tabi ọja to ti pe lori igba.	Wọ́n ṣì máa ń ràn wá lọ́wọ́, táa bá gbọ́ pé ayédèrú ọjà kan wà níbì kan, tàbí ọjà tó ti pé lórí igbá.
Awọn la maa pe ti wọn si maa ba wa pe awọn to n ta ọja yẹn.	Àwọn la máa pè tí wọ́n sì máa bá wa pe àwọn tó ń ta ọjà yẹn.
Iranlọwọ nla la n ri gba lọdọ awọn ọlọja lori iṣẹ wa.	Ìrànlọ́́wọ́ ńlá là ń rí gbà lọ́dọ̀ àwọn ọlọ́jà lórí iṣẹ́ wa.
Ṣugbọn a kii ko ẹru ọja ọlọja.	Ṣùgbọ́n a kìí kó ẹrù ọjà ọlọ́jà.
