eng	pcm
Pointing accusing fingers at IPOB for this barbaric act is only meant to divert attention away from the real masterminds.	To dey point hand for IPOB for dis kin barbaric act na just to divert attention away from di real pipo wey do am.
This is the same way terrorists in security uniform commit various atrocities in South East and turn around to blame IPOB for their crimes just to tarnish our global reputation.	Na di same way wey terrorist wey wera security uniform dey take komit atrocities for inside south east, and dem go kom IPOB for dem crime, sekk of say dem wan spoil awa reputation.
This is purely a smokescreen to justify their long-awaited plan to declare another special military operation in the Eastern region to kill more innocent Biafrans.	Na opportunate wey dem don dey find for long be dis to take start anoda special military operation for inside Eastern Region to take more Biafra pipo wey dey innocent.
Instead of the security agencies to properly investigate the incident and possible factors, they switch to accuse IPOB of a crime we know nothing about.	Instead make scurity pipo for do proper investigate on top di incident and things wey cause am, dem don face IPOB ova crime wey dem no do.
Did IPOB have the itinerary of the late Gulak to have waylaid him at the airport?	Shey IPOB get di informate for di movement of di late Gulak reach say make dem stop am for airport road?
The group said security agencies should first investigate Gulak's host, Hope Uzodinma, as well as his political opponents to establish their possible involvement.	Di group tok say make security pipo first investigate pesin wey host Gulak, dat one na Hope Uzordinma, and im political opponent, to establish if dem dey involve.
Those behind Gulak's murder won't go unpunished	Dos wey kill Gulak no go escape punishment.
President Muhammadu Buhari has said that those behind the murder of Gulak and other incidents across the country will not go scot free.	Presido, Muhammadu Buhari don tok say di pipo wey kill Gulak and oda wahala for inside we obodo no go go scot free.
President Buhari, in a statement issued Sunday by his spokesman, Garba Shehu, expressed outrage and disgust over the heinous murder.	Presido, Buhari, for one statement wey in toktok persin, Garba Shehu, don express im outrage and disgust ova di heinous murder.
The president, who expressed sadness over the incident, said: I'm repulsed by such premeditated and gruesome murder of Gulak by evil people who are determined to undermine the peace, unity and territorial integrity of our country.	Di president, wey don show say di incident make am sad, tok say: I dey repulsed by di gruesome murder of Gulak wey dey premeditated by evil pipo, wey be say dem don detrmine to dabaru di peace, unity and teritorial integriti of awa kontri.
Let me warn however that nobody or group of people who engages in such despicable acts should expect to go free.	Make I kom warn say nobodi, or joinbodi wey dey do dat kind thing wey dey despicable go expect to go free. 
We will deploy all resources at our disposal to ensure that such callous and criminal elements are brought to justice.	We go use evritin wey we get to see say pipo wey do dis kind calous and criminal thing go face justice.
Gulak's killing unacceptable Akeredolu	Akeredolu tok say di kilin of Gulak dey unacceptable.
Ondo State Governor, Oluwarotimi Akeredolu described the news of the assassination as very shocking and disturbing.	Governor for Ondo state wey be Olwarotimi akeredolu be describe di news of di kilin as shockin and disturbin
In a statement personally signed by the governor, he said this is one murder too many, describing the action as senseless and wicked.	Inside one statement wey di Governor imsef sign, he tok say dis one na murder too many, say do thing dey senseless and wicked.
The perpetrators of this heinous act are enemies of this country.	Di pipo wey do dis kind bad thing na enemy of di kontri dem be.
This contrivance is meant to mislead, confuse and destroy.	Di corner-corner way na to mislead, confuse and destroy.
It bears the unmistakable, despicable imprints of fifth columnists bent on setting the country on the path of conflagration.	he get di  unmistakable, despicable imprints of fifth columnists bent on setin di kontri on di path of conflagration.
These criminals must not be allowed to succeed.	dey must not allow dis criminal dem to succeed. 
We want to use this medium to express our solidarity with our brother, Governor of Imo State, Hope Uzodinma.	We wan use dis medium to tell awa brother, Governor of Imo state, Hope Uzordinma say we dey with am.
We admonish him and other governors in the South Eastern States to brace up, and confront the current security challenge to put an end to the bloodbath in the land.	We encourage am and oda Governor dem for South Eastern states to brace up, make dem confront di security wahala to take end bloodbath for dem lan.
The enemies of the people always employ the weapon of fear to create disaffection in the polity.	Di enemy of di pipo dey always use weapon of fear to create disaffection.
This cowardly act is calculated to instigate Nigerians against each other, particularly Northerners, against the Igbo living outside the South East.	Di coward act na to instigate Naija pipo make dem for face each oda, make northerners for face Igbo pipo wey dey live outside South East
We must confront the enemies of the people with a view to neutralising them.	We must face di enemy of di pipo, to see say we komot power for dem hand.
This is definitely not the time for political correctness.	Dis one no be time to dey argue who sabi politiks pass.
Banditry should not be allowed to subvert the legitimacy of the current government at all levels.	We no suppose allow bandit waka spoil di legitimacy of dis goment for all level.
We call on all security agencies to collaborate with a view to unveiling the criminal elements sponsoring and undertaking terrorist acts.	we dey call on all security pipo dem to kolabo to see say dem show di criminal pipo wey dey sponsor, and dos wey dey do terorist waka.
They must be punished, severely.	Dey must to punish dem severely.
Lewandowski scores 41st goal, breaks 49-year-old record	Lewandowski don score 41 goals, e break 49 year old record.
Robert Lewandowski, on Saturday, broke Gerd Muellera's 49-year-old record when he bagged a 41st Bundesliga goal of the campaign seconds before the final whistle on the last weekend of the season.	Robert Lewandowski, for Sunday, don break Gerd Muellera 49 year old record wen e score hin 41st Bundesliga goal for the season small seconds before refree blow final whistle for last week of di season.
Mueller, 75, is suffering from severe dementia, but The Bomberâ remains an iconic figure in German football as the Bundesliga's all-time top scorer with 365 goals, well ahead of Lewandowski's tally of 277.	Mueller, wey be 75 year old, dey suffer from severe dementia, but The Bombera still dey among di iconic figure for German football as di Bundesliga all time top scorer wit 365 goals, e dey ahead of Lewandowski tally of 277
Many thought	plenty thinking
Mueller's record of 40 goals for Bayern Munich in 1971/72 would never be matched until Lewandowski rounded the goalkeeper to score in the same club	Mueller 40 goals for Bayern Munich wey be record for 1971/72 neva dey match until Lewandowski rounded di goalkeeper to score for di same club
Lewandowski broke the record on Saturday after equalling the record last weekend.	Lewandowski break di record on Saturday afta equalling di record last week
It was tense until the last second, I would have liked to have scored earlier,a relieved Lewandowski told Sky.	E dey serious until the last second, I go like to don score tey-tey, Lewandowski tell Sky
Sometimes you also have to stay patient, which was difficult.	Sometimes you need to dey patient, wey dey difficult
I always believed that a chance would come.	I dey always believe say chance go kom
That was a special and historic moment.	dat be one special and historic moment
Halilu Mohammed is the Secretary of Onions Dealers Association in Imo State.	Halilu Mohammed na im be di Secretary of di joinbodi of Onion dealer dem for Imo.
In this interview, he narrated how suspected members of the outlawed Indigenous People of Biafra (IPOB) attacked and confiscated two trucks transporting onions to the eastern part of the country.	For Inside dis tori, he yan how pipo wey dem suspect say dem be member of Indigenous Pipo of Biafra (IPOB) take attack and marsh-leg ontop two truck wey carry onion go east of di kontri.
Can you tell us how the incident happened?	You go fit yan us how di mata take hapun?
Well, there were two trucks conveying onions from Kano State.	Well, e get two trucks weykari onion from Kano State.
These people stopped the vehicles and seized the drivers and the vehicles and they later drove the vehicles to one side where they ransacked and sold all the onions before we could get the security agencies to get to the area.	Di pipo stop di moto, kom hold driver and di moto for hand, dem kom drive di moto go one corner wia dem dey rebag and dem sell di onions finish before security pipo rish di area.
Each bag of the onion costs at least N15,000 at market price but they sold each of the bags at N9,000.	One bag of onions be, e small patapata N15,000 for market but dem sell dem N9,000 for one bag.
Who are those people that carried out the attacked?	Na which pipo do di attack?
Of course they were Biafran militants (IPOB), who were marching with their flags.	Na Biafria Area-bois (IPOB), wey dey wakawaka wit dia flag.
They carried out the attack, looted the goods and sold each and every of the onions conveyed in the vehicle.	Dem attack, tif and sell all di market, all di onion wey dey inside di moto.
Where did they carry out the attack?	Na wia dem take do di attack?
The attack was carried out at the market where these vehicles were stopped and ransacked.	Na market dem do di attack, wey dem stop and tiftif for di moto.
They gave out a price and sold each bag of the onions at the price of N9,000 and went away with the money.	Dem tok price kom sell all di onion N9,000 for one bag and dem carry di moni japa.
Before security agencies arrived, they have already sold out all the onions in one vehicle.	Before security pipo come, dem don sell all di onion inside di moto finish.
It was after security agencies have arrived then we moved the other vehicle to a safer place so that they do not attack again and possibly go with the vehicle.	Na wen security pipo kom na im we shift di second moto go corner wey gbege nor dey, make dem nor attack again or carry d moto japa patapata.
Who owns the goods?	Who get di market?
The onions belonged to one Alhaji Bello who also owned the trucks conveying the onions loaded from Kano to Imo state.	Na Alhaji Bello get di onion plus di truck wey carry am from Kano to Imo state.
What is the estimated value of all the onions in each vehicle?	Wetin di onion wey dey inside di moto fit rish?   
We have estimated each of the vehicles was conveying at least 470 bags of onions.	We don calcu say e small patapata one moto dey carry 470 bag of onion.
Almost 500 bags of onions looted from attacked Imo truck — Market leader	Almost 500 bags of onions na im dem tifitif for inside Imo Market oga-patapata truck wey dem attack.
Fintiri mourns	Fintiri dey mourn
The Governor of Adamawa State, Ahmadu Umaru Fintiri described as shocking the gruesome murder of Gulak who was a former Speaker of the Adamawa State House of Assembly.	Di Governor for Adamawa state, dat na Umara Ahmadu Fintiri don tok say di way dem kill Gulak shock am, say e be former speaker for Adamawa state.
Governor Fintiri said the death was painful and a reflection of the wickedness of the wicked.	Governor Fintiri tok say di death dey painful, how wicked pipo take wicked reach.
Governor Fintiri described the late Gulak as a witty, determined and practical politician whose rise in life was as a result of sheer hard work.	Governor Fintiri tok say Late Gulak na pesin wey dey witty, determined, and politician wey dey practical, wey be say as im take rise, na result of im hardwork.
It is unfortunate that death has taken from us	E dey unfortunate say di death don kolekt from us
Hon Ahmed Gulak in such a gruesome manner.	Hon Ahmed Gulak in day kind gruesome manner.
He was a lively politician who loved and worked with everyone, and always held the interests of the country at heart.	Gulak be dis kind lively politicin wey follow evribodi work, and he dey always get di interest of di kontri for im mind.
Recalling his interactions with the late Gulak, Governor Ahmadu Umaru Fintiri said, He was a brother and a mentor, and a fighter for human rights as a lawyer.	As he dey remember im interaction with late Gulak, Governor Ahmadu Umaru Fintiri tok say na broda and mentor e be, and seek of say na lawter, na human right fighter e be.
Madagali community has lost a true son.	Madagali community don loss better son.
In a statement issued yesterday in Yola through his Chief Press Secretary, Hunwashi Wanisoukou, the governor noted that Our country has lost an astute fighter for human rights.	For inside one statement wey im Chief Press Secretary Hunwashi Wanisoukou release for inside Yola yesterday, di governor tok say we kontri don loss one of di strong persin wey dey fight for human right.
We all remember how passionate he fought for the plight of those displaced by insurgency and the downtrodden.	We all remember how passionate he fight for di pipo wey insurgency jaguda don send komot for house,  and pipo wey no too get means.
ACF condemns assassination	ACF condenm di kilin
The Arewa Consultative Forum (ACF) has condemned Gulak's assassination, describing it as a monumental loss to the nation.	Arewa Consultative Forum (ACF) don condenm di kilin of Gulak, dem tok say na big loss for we kontri.
The ACF in a statement issued by its National Publicity Secretary, Emmanuel Yawe, said it was sad to receive news on the assassination of Ahmed Gulak describing him as a dynamic and progressive politician from the north.	Di ACF for one statement wey di national publicity secretary, Emmanuel Yawe carry komot, tok say dem dey sad to hear di kilin of Gulak, dem describe as one politician wey dey dynamic, and progressive politician wey from notrth komot.
You liked or hated him that was your business.	If you like am, or you no like am, na your business be dat.
May God bless him and give his family and his state, Adamawa the strength to bear this monumental loss, it stated.	Make God bless, and make he give im family and state, Adamawa, di ability to take bear di loss.
Assassination part of plans to replicate 1966 coup CNG	Di kilin na part of di plan to take repeat do coup wey apun for 1966 CNG
The Coalition of Northern Groups (CNG) has described Sunday's assassination of Ahmed Gulak, a prominent northern leader and former Political Adviser to former President Goodluck Jonathan as coordinated and as well as incessant attacks on police formations in Nigeria's southeast as part of a wider plan to replicate the coup of 1966.	Di coalition for Norther Groups (CNG) don describe di kilin of northern politician Ahmed Gulak wey be before before political adviser to former presido Goodluck Jonathan, say na sometin wey dem plan, and all di attack wey dem dey attack police pipo for inside Southeast of Naija, na to try repeat di coup wey apun for 1966.
The CNG in a statement signed by its Spokesperson, Abdul-Azeez Suleiman said it was the reason why the northern part of the country cannot be reasonably expected to live with the south east as a nation alleging that the violent rascality by the Indigenous People of Biafra (IPOB), the Eastern Security Network (ESN) and other armed Igbo gangs are funded, fully supported and emboldened by every component of the Igbo society at home and in the diaspora.	Di CNg for inside one statement wey dem toktok pesin Abdul-Azeez Suleiman sign tok say  na di reason why norther part of di kontri no fit live with southeast as one kontri, as dem allege say di violent way of di Indigenous Pipo of Biafra, Di eastern Security network (ESN), and oda Igbo gand dey fund, get confidence, by everi part of di Igbo society, both pipo wey home and di one wey dem dey obodo oyinbo.
While Mueller scored his 40 goals over 34 league games in 1971/72, injury and squad rotation meant Lewandowski broke the record in just 29 matches.	As Mueller score hin 40 goal for 34 league games for 1971/72, injury and squad rotation mean say Lewandowski break di record for just 29 matches.
Bayern scored 101 goals in the league in 1971/72 and 99 this season.	Bayern score 101 goals for league for 1971/72 and dem score 99 dis season.
Physically, the 32-year-old Lewandowski is very different to Mueller, who was 26 in the 1971/72 season.	Physically, di 32 year old Lewandowski dey very different to Mueller, wey be 26 for di 1971/72 season.
What is your name?	wetin be your name?
Robert is an athlete, Gerd was an artist, Mueller's wife Uschi Mueller told magazine Sport Bild.	Robert be athlete, Gerd be artist, Mueller wife Uschi Mueller tell magazine wey name be Sport Bild
At 1.84m and 79kgs, Lewandowski is a model athlete, renowned for his strict diet and training programme.	For 1.84m and 79kgs, Lewandowski be model athlete, e dey renowned for hin strict diet and programme.
Mueller, at 1.76m and 80kgs in his prime, was nicknamedshort fat Mueller by former Bayern coach Zlatko Cajkovski.	Mueller, for 1.76m and 80kgs wen e dey young, get di nickname short fat Mueller by hin former Bayern cochi Zlatko Cajkovski
The pair share an insatiable appetite for goals.	Di pair share dey always dey hungry for goals.
Lewandowski has hit the net on average every 60 minutes this season, while The Bomber scored every 77 minutes in 1971/72.	Lewandowski don score on average of 60 minutes for dis season, Te Bomber score evri 77 minutes for 1971/72
Lewandowski is a star player 	Lewandowski be one ogbonge star player.
Mueller was a copybook penalty box striker, who could transfer the ball from his right to left foot with bewildering speed.	Mueller be ogbonge role model striker, wey fit pass ball from hin right leg to left leg sharperly.
His low centre of gravity helped Mueller steal an edge over defenders in the first few metres.	Hin low centre of gravity help Mueller dey ahead of defenders for di first few meters
Given a sniff of goal, he was an ice-cool finisher.	Wen hin see chance to score, hin be ogbonge finisher.
Lewandowski is just as dynamic, but in contrast to Mueller, he is happy to shoot from outside the box or use the space to outsprint defenders.	Lewandowski dey dynamic, but hin also dey different from Mueller, hin dey always dey hapi to shoot from outside box eighteen or make hin use speed pass defenders.
They share the killer instinct when the ball is near goal, often being alert to a rebound and waiting until the last second to pounce, as Lewandowski demonstrated on Saturday.	Dem share same sense wen ball don reach level wey e fit turn goal, dem always dey dey alert for rebound and dey ready for pounce, like how Lewandowski do am on Saturday
How it started	How e take start.
Lewandowski started 2020/21 with a bang, converting a penalty and providing two assists in an 8-0 thrashing of the Schalke, a record result for the opening game of a Bundesliga season.	Lewandowski start 2020/21 wit a bang, hin score a penalty and provide two assit for dia 8-0 win over Schalke, a record result for first game for Bundesliga season.
He failed to score in the next game, a shock 4-1 loss at Hoffenheim, but provided all four goals, including a late match-winning penalty in a nervy 4-3 home win over Hertha Berlin last October.	Hin no score for the next game, dem scock as dem lose 4-1 for Hoffenheim, but hin score all di four goals, plus di late match-winning penalty for dia 4-3 home win against Hertha Berlin for October.
He was rested for one game in late October after scoring ten goals in his first five games, then hit a purple patch with 25 in 20 league games.	Dem rest am for one game, for last October afta scoring ten goals for hin first five games, before hin kom reach 25 goals for 20 league games.
A knee injury playing for Poland in late March left Lewandowski on 35 goals after a hat-trick against Stuttgart.	Lewandowski get knee injury wen hin dey play for poland wen hin dey 35 goals afta hat-trick against Stuttgart.
After three weeks out, he returned with a goal in the shock loss at Mainz before hitting a hat-trick in the 6-0 home win over Moenchengladbach which won Bayern the title.	Afta three weeks out, hin kom back wit a goal in shock loss for Mainz before hin hit hat-trick of 6-0 for home against Moenchengladbach wey win Bayern the title.
While Lewandowski has scored consistently, Mueller had sporadic purple patches, netting just three goals in the first nine games of the 1971/72 season.	While Lewandowski don score consistently, Mueller get sporadic purple patches, dey score just three goals for di first nine games for 1971/72 season.
However, he had scored 18 goals by the halfway point, including four in an 11-1 thrashing of Dortmund in November 1971.	Hin don score 18 goals by halfway point, plus four for 11-1 thrashing of Dortmund for November 1971
He then hit five goals in a 7-0 thrashing of Oberhausen which sparked a run of 16 goals in just seven games, finishing the season with six goals in three games.	Hin den score 5 goals for 7-0 beating of Oberhausen wey reach 16 goals for just seven games, finishing di season wit six goals for three games.
BPE, education ministry among 20 outstanding MDAs	BPE, education ministry wey dey among 20 outstanding MDAs
The Bureau of Public Enterprises (BPE), Ministry of Education, and the Ministry of Transportation are among the Ministries, Departments and Agencies (MDAs) named as the 20 Most Outstanding MDAs in Nigeria this year.	Di Bureau of Public Enterprises (BEP), Ministry of Education, and di Ministry of Transpotation dey among di Ministries, Departments and Agencies (MDAs) wey dem name as di 20 Most Outstanding MDAs for Nigeria dis year.
This was disclosed by the CEO, Profiles & Biographies, Mr. Kammonke Abam, in a statement in Abuja, as an update on the firm's research and compilation of the accomplishments of MDAs to mark the sixth anniversary of the current administration.	Na di CEO, Profiles & Biographies, Mr. Kammonke Abam, tok am, for one statement for Abuja, as part of update on the company research and compilation of di accomplishments of MDAs to celebrate di sisth anniversary.
He said the assessment result is relative to the MDAs fulfilling their ministerial mandate in line with the administration's 9-point development agenda, and his firm's evaluation benchmark.	Hin tok say di assessment result dey relative to di MDAs fulfiling dia ministerial mandate in line wit di administration 9-point development agenda, and him firm evaluation benchmark.
Abam said the firm adopted an evaluation benchmark based on five criteria of relevance, efficiency, effectiveness, impact and sustainability in assessing all the MDAs in line with best practice.	Abam tok say di firm adopt an evaluation benchmark based on five criteria of relevance, efficiency, effectiveness, impact and sustainability in assessing all di MDAs in line wit best practice.
It is pointed out, with some justification too, that because this control and dominance work to their advantage, Fulani political aristocracy always works against the attempts by other ethnic groups for the enthronement of a just, equitable and inclusive Nigeria for all.	Dem don point am out, wit som justification too, say sake of say dis kontrol and dominance work to dia advantage, Fulani political aristocracy dey always work against di attempt of oda  ethnic group for di enthronement of a just, equitable and inclusive Nigeria for all.
Although this accusation against the Fulani has been on for years now, at no time has it become more pronounced than in the present time under the administration of President Muhammadu Buhari who happens to be a Fulani man.	Even say dis accusation against Fulani don dey for years now, no time wey e dey more pronounced pass dis present time unda di administration of President Muhammadu Buhari wey be Fulani man.
Although some will dismiss this as part of the stuff of politics in Nigeria, the claim that Fulani wield and retain a disproportionate slice of political power to the detriment and exclusion of others is not totally unfounded, nor is it untrue that the Fulani political aristocracy has sought to perpetuate this control through a subtle agenda of exclusive empowerment and appointment into the strategic areas of the countrys polity and economy.	Even say som go troway dis as part of di stuff of politiks for Nigeria, di claim say Fulani dey kontrol and retain large amount of political power in a way wey e affect and komot odas, no dey totally wrong. No be lie say di Fulani political aristocracy don find way to prolong dis kontrolthroughmago-mago agenda of exclusive empowerment and appointment for di strategic areas of di kontri polity and economy.
This fulanisation agenda has predictably turned the other ethnic groups including even the closest, the Hausa, against the Fulani especially as the latter are fingered as being responsible for the banditry, kidnapping and other violent crimes in the North west of the country.	Dis fulanisation agenda, as we expect, don turn oda ethnic group includin Hausa wey be di closest, against di Fulani, especially as dem don point am say na Fulani bin dey responsible for di banditry, kidnappin and oda violent crimes for North-West of di kontri.
In the current situation that Nigeria finds itself, it is no longer feasible for the Fulani to continue to exercise the skewered and disproportionate control of political power.	In di current situation wey Nigeria dey, e no dey feasible again for Fulani to kontinue dey exercise di skewered and large kontrol of political power.
This not only creates a dangerous imbalance in the polity; it also fosters a feeling and tendency by politically excluded ethnic groups to seek ways of disrupting the polity as we are having it now.	Dis no go only create a dangerous imbalance in di polity; e go also bring up a feelin, and tendency by di ethnic groups wey dem komot for politiks, to find ways wey dem go take disrupt di polity as we dey get am now.
For Nigeria to get out of the dangerous quagmire of uncertainty currently building up, we must address the issue of a skewered political and economic control of Nigeria exercised by the powerful and influential ethnic groups to the exclusion of others.	For Nigeria to kommot for di dangerous situation of doubt wey dey build up currently, we must to address di issue of a bias political and economic kontrol of Nigeria, wey di powerful and influential ethnic groups dey show, to di exclusion of odas.
Another issue that hangs around Nigerian politics and governance like an albatross has to do with our dangerous attachments to ethnic and religious leanings and seeking to interpret everything in our country along those lines.	Anoda mata wey hang around Nigerian politiks and governance like burden wey dey pesin neck, get to do wit awa dangerous attachment to ethnic and religious ways, and awa effort to interpret evritin for awa kontri along dose lines.
We are not Nigerians in the true sense of the word.	We no be Nigerians for di true sense of di word.
Our sense of ourselves as Nigerians is defined to a large extent only by the geographical area covering the country rather than by shared values and identities.	Awa sense of togedaness as Nigerians to a large extent dey defined only by di land wey join all of us togeda rada dan by di value and identity wey we share togeda.
We identify ourselves more from our ethnic and religious perspective at the expense of the Nigeria we all belong.	Na base on my-pipo, una-pipo and my-religion una-religion level we take dey relate wit eachoda, rada dan as Nigerians wey we all be. 
The proclivity to play the ethnic and religious card has become so pervasively self-perpetuating that where it is not even necessary, we try to invoke it just to assure ourselves that this is the normal thing to do.	Di proclivity to play di ethnic and religious card don becom so pervasively sef-perpetuatin to di extent say wia e no even dey necessari, we go try to invoke am jus to assure awaself say dis na di normal tin to do.
If the ethnic card does not apply, we reach for the religious card and where the religious card does not, we apply the ethnic card.	If my-pipo, una-pipo card no wok, we go use my-religion, una-religion card, and for wia dat wan no work, we go use di my-pipo una-pipo own. 
We have come to believe so much in these factors as a yardstick for just about everything we do that, like an addict hooked on the self-deceiving exhilaration of the substance, we just cannot muster the courage to kick the habit even as we know how injurious it is to our body politic.	We don too biliv dis factors as yardstick for almost evritin wey we do, sotey like addict wey dey deceive e sef on di happiness of takin substance, we just fit no gada di courage to kick di habit. Even say we sabi how harmful e be to awa bodi politic.
Swiatek to face ex-champ Pliskova in Rome final	Swiatek go face befor-befor champion Pliskova for Rome final.
French Open champion Iga Swiatek warned she was ready for anyone as she takes on former winner Karolina Pliskova in the Italian Open final on Sunday.	French Open champion Iga Swiatek don yarn say she dey ready for anybodi, as she and befor-befor winner Karolina Pliskova go face each-oda for Italian Open final for Sunday.
Ex-world	Befor-befor world.
Pliskova saw off Croatia	Pliskova beat Croatia.
Petra Martic 6-1, 3-6, 6-2 to return to the final of a tournament she won in 2019 and finished runner-up last year.	Petra Martic 6-1, 3-6, 6-2 don qualify for anoda final of di tournament wey she win for 2019 and finish second last year.
Ninth seed Pliskova is the only top 10 player remaining but faces a battle with 19-year-old Swiatek, who continued her Roland Garros warm-up with back-to-back wins on Saturday.	Ninth seed Pliskova na di only top 10 player wey remain wey go face battle wit 19-year-old Swiatek, wey kontinue her Roland Garros warm-up wit back-to-back win for Saturday.
Swiatek first ousted fifth seed Elina Svitolina, a two-time Rome winner, 6-2, 7-5 in 1hr 36min in their quarterfinal match which had been pushed back from Friday because of rain.	Swiatek first komot fifth seed Elina Svitolina, wey be two-time Rome winner, 6-2, 7-5 for 1hr 36min in dia quarterfinal match wey dem postpone from Friday becos of rain.
She then saw off 17-year-old American Coco Gauff 7-6 (7/3), 6-3 in the semifinals in 1hr 45min.	She kom win 17-year-old American Coco Gauff 7-6 (7/3), 6-3 in di semifinals for 1hr 45min.
I knew it was going to be tough, said the 15th-seed of her marathon day.	I sabi say e go tough, na di numba 15-seed of her marathon day tok am.
I played with no expectations.	I no get mind to win or loose as I dey play. 
I was taking it step by step.	I dey take am step by step.
Beating Elina shows that my game is here, Im ready for anyone.	Beatin Elina show say my game dey hia, I ready for anybodi.
It really gave me a confidence boost.	E really gimme confidence.
If my game is going to be there tomorrow, I can do anything.	If my game go dey dere tomorro, I fit do anytin.
Politicians with analogue ideas should not rule Nigeria again  Sowore	Make Politicians wey get analogue ideas no rule Nigeria again - Sowore
A former presidential aspirant of the African Action Congress (AAC), Omoyele Sowore, said the inability of President Muhammadu Buhari to meet up with his campaign promises to make Nigeria a better nation is a wake-up call to stop electing leaders with analogue ideas.	Befor-befor presidential aspirant of di Afrikan Action Congress (AAC), Omoyele Sowore, don tok say di inability of President Muhammadu Buhari to meet up wit him campaign promises to make Nigeria a beta nation na wake-up call for us to stop to dey elect leaders wit analogue ideas.
Sowore, during the 3rd NEC meeting of AAC in Abuja, said the presidents inaction while the security situation of the country persisted indicated that he lacked novel ideas to confront the situation facing the country.	Sowore, durin di 3rd NEC meetin of AAC for Abuja, tok say di inaction of di president on top security mata for di kontri show say e lack new ideas on how to confront di situation wey dey face di kontri.
For the progress of the country, people with absolutely old and analogue ideas cannot continue to run a digital country like Nigeria.	For di progress of di kontri, pipo wey get completely old and analogue ideas no fit kontinue to rule a digital kontri like Nigeria.
Nigeria is going down in the hands of incompetent leaders that have no compassion for its citizenry and refused to deliver on their duties, he said	Nigeria dey go down for di hand of incompetent leaders wey no get compassion for im citizens and kom refuse to deliver on dia duties,  e tok.
No public access to Capitol grounds during Biden inauguration  Police	Police don yarn say members of di public no go get access to di Capitol floor durin Biden inauguration.
There will be no public access to the Capitol grounds during Joe Bidens inauguration as U.S. president on Jan. 20, acting Capitol Police chief Yogananda Pittman said.	Actin oga pata-pata of Capitol Police, Yogananda Pittman tok say public access no go dey to di Capitol floor durin Joe Biden inauguration as U.S. president on Jan. 20. 
Pittman took over the leadership from Steven Sund after he stepped down amid criticism of the forces handling of rioters who breached the Capitol building last week.	Pittman take over leadership from Steven Sund afta Sund step down becos of plenti criticism on how police take handle pipo wey riot for di Capitol building last week.
